name,category,review.point,price,has_smoke,has_peat,has_sherry,has_vanilla,has_fruit,has_sweet,has_orange,has_fruits,has_toffee,has_spices,has_palate,has_spicy,has_pepper,has_apple,has_ginger,has_citrus,has_wood,has_caramel,has_smoky,has_fruity,has_spice,has_oak,has_honey,has_chocolate
"Black Bowmore 42 year old 1964 vintage, 40.5%",Single Malt Scotch,97,4500.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Bowmore 46 year old (distilled 1964), 42.9%",Single Malt Scotch,97,13500.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnnie Walker Blue Label, 40%",Blended Scotch Whisky,97,225.0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Glenlivet Cellar Collection 1969 vintage, 50.8%",Single Malt Scotch,96,750.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"The Macallan 29 year old 1976 Vintage (Cask #11354), 45.4%",Single Malt Scotch,96,1500.0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"The Dalmore 50 year old, 52.8%",Single Malt Scotch,96,1500.0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Gold Bowmore 1964 vintage, 42.4% ",Single Malt Scotch,96,6250.0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
"Bowmore 40 year old, 44.8%",Single Malt Scotch,96,11000.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"Compass Box The General, 53.4%",Blended Malt Scotch Whisky,96,325.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Glenfarclas Family Casks 1954 (Cask #1260), 47.2%",Single Malt Scotch,96,3360.0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chivas Regal Ultis, 40%",Blended Malt Scotch Whisky,96,160.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Chivas, 18 year old, 40%",Blended Scotch Whisky,95,70.0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
"Johnnie Walker Blue Anniversary, 60%",Blended Scotch Whisky,95,3500.0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Ardbeg 1974 Vintage (Cask #3145), 49.9%",Single Malt Scotch,95,20000.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Glenfarclas 1968 Vintage, 43%",Single Malt Scotch,95,200.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"Highland Park  1973 vintage 33 year old (Cask #13308), 54.4%",Single Malt Scotch,95,280.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dun Bheagan (distilled at Springbank) Cask No. 1704 35 year old 1970 vintage, 50.5%",Single Malt Scotch,95,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Brora, 30 year old, 55.7%",Single Malt Scotch,95,400.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The Last Drop, 1960 vintage, 48 year old, 52%",Blended Scotch Whisky,95,2000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"The Macallan Estate Reserve, 45.7%",Single Malt Scotch,95,215.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"Laphroaig 25 year old (2008 Edition), 51.2%",Single Malt Scotch,95,500.0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0
"Lombard 'Jewels of Scotland' (distilled at Brora), 1982 vintage, 50%",Single Malt Scotch,95,200.0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Jewels of Scotland (distilled at Springbank) 1965 vintage, 46%",Single Malt Scotch,95,400.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"Brora, 30 year old (2009 Release), 53.2%",Single Malt Scotch,95,400.0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0
"Glenlivet Cellar Collection 1973 vintage, 49%",Single Malt Scotch,95,1250.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"Glenfarclas 40 year old, 46%",Single Malt Scotch,95,460.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"Compass Box Flaming Heart (10th Anniversary bottling), 48.9%",Blended Malt Scotch Whisky,95,105.0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
"Glenglassaugh, 40 year old, 44.6%",Single Malt Scotch,95,2525.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"Brora 2010, 54.3%",Single Malt Scotch,95,455.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bowmore 50 year old (distilled 1961), 40.7%",Single Malt Scotch,95,26650.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brora 35 year old, 49.9%",Single Malt Scotch,95,750.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1
"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",Blended Scotch Whisky,95,120.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
"The Last Drop 50 year old, 50.9%",Blended Scotch Whisky,95,4000.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"The Balvenie 1973 43 year old, 46.6%",Single Malt Scotch,95,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Ardbeg Corryvreckan, 57.1%",Single Malt Scotch,95,90.0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
"Royal Salute 28 year old Kew Palace Edition, 40%",Blended Scotch Whisky,95,790.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Highland Park 50 year old, 42.5%",Single Malt Scotch,95,15000.0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Chivas Regal The Icon, 43%",Blended Scotch Whisky,95,3500.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
"Ardbeg 19 year old Traigh Bhan, 46.2%",Single Malt Scotch,95,300.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ardbeg 19 year old Traigh Bhan (Batch 2), 46.2%",Single Malt Scotch,95,300.0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"John Walker & Sons Bicentenary Blend, 46%",Blended Scotch Whisky,95,1000.0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ardbeg 1974 Vintage (Cask #3524), 49.9%",Single Malt Scotch,94,20000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Signatory 35 year old 1970 vintage (distilled at Bowmore), 51.9%",Single Malt Scotch,94,500.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bruichladdich Legacy 6 34 year old, 41%",Single Malt Scotch,94,550.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
"Bunnahabhain 35 year old 1971 vintage, 44.9%",Single Malt Scotch,94,700.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"The Dalmore Stillman's Dram 28 Year Old, 45%",Single Malt Scotch,94,140.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Glendronach 33 year old, 40%",Single Malt Scotch,94,400.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Highland Park 34 year old 1971 vintage (Cask #8363), 53%",Single Malt Scotch,94,325.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Highland Park  1977 vintage 29 year old (Cask #7957), 48.5%",Single Malt Scotch,94,300.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Highland Park 32 year old 1973 Vintage (Cask #8375), 41.3%",Single Malt Scotch,94,350.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Highland Park 30 Year Old, 48.1%",Single Malt Scotch,94,350.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"The Macallan 17 year old Fine Oak, 43%",Single Malt Scotch,94,120.0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"White Bowmore 43 year old 1964 vintage, 42.8%",Single Malt Scotch,94,6000.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"The Balvenie Vintage Cask 1976 vintage, 53%",Single Malt Scotch,94,800.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
"The Antiquary, 21 year old, 43%",Blended Scotch Whisky,94,100.0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
"The Macallan 1824 Limited Release, 48%",Single Malt Scotch,94,1900.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"Black Bull, 30 year old, 50%",Blended Scotch Whisky,94,200.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Highland Park 1964 vintage, 42.2%",Single Malt Scotch,94,6088.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
